"","value"
"All Items",0.723327078541197
"Excluding score1",0.710850688832765
"Excluding score2",0.718140838144821
"Excluding score3",0.704030936373649
"Excluding score4",0.715472279248301
"Excluding score5",0.720970955947428
"Excluding score6",0.717472689561656
"Excluding score7",0.714536740471464
"Excluding score8",0.715410630606192
"Excluding score9",0.708090233364503
"Excluding score10",0.714370185305557
"Excluding score11",0.717074138763123
"Excluding score12",0.706375713788527
"Excluding score13",0.72330106496243
"Excluding score14",0.711429941607567
"Excluding score15",0.720992010766943
"Excluding score16",0.703473942000704
"Excluding score17",0.712987491166589
"Excluding score18",0.725614487891619
"Excluding score19",0.700812711396796
"Excluding score21",0.721136556242606
"Excluding score22",0.718251448040813
"Excluding score23",0.712428820330922
"Excluding score25",0.721803945404082
"Excluding score26",0.71518470930056
