"","x"
"score1",0.41737651452953
"score2",0.340243331025115
"score3",0.49618193762792
"score4",0.347581178491426
"score5",0.251673116389964
"score6",0.347332772555559
"score7",0.358841431509723
"score8",0.361287083350353
"score9",0.449504794911689
"score10",0.378019567663418
"score11",0.33601934524163
"score12",0.470735844790552
"score13",0.229745194392398
"score14",0.411776561325524
"score15",0.26616513105896
"score16",0.509411436289004
"score17",0.38656161403287
"score18",0.213687276378194
"score19",0.531874749855967
"score21",0.299788056342469
"score22",0.333765430035418
"score23",0.408612095366642
"score25",0.301822615664802
"score26",0.357257034945145
